"Data Source","World Development Indicators",

"Last Updated Date","2024-02-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.3540108645449","31.0169065541772","30.7616975412357","30.5649144096508","30.5084338642545","30.573423339077","30.6072432001645","30.6401065101133","30.7440054633581","30.6902366366096","30.573278876704","29.7720048182502","29.0292218043874","28.9226996239971","28.9156531457349","28.9843986262311","29.4811335365755","29.6510901433936","29.6265491972187","29.3311550987374","29.7306498997839","30.1753403744897","30.4219536549941","30.6702388641956","30.8473153548017","30.7515690361509","30.6978956988356","30.6360658737022","30.4356323726598","29.694823771719","29.8090627378893","29.3938372171633",
"Afghanistan","AFG","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.63452866927006","8.69192350096","8.66507531609519","8.66924755607499","8.68390938249035","8.74107246485273","8.79148712011932","8.84162370855688","8.87209687620657","8.87913869806198","8.85613673731593","9.10819892987142","9.32301100785359","9.4611959154412","9.67326267077074","9.83565471732942","10.1003323467861","10.2804610038887","10.8631474461549","11.4868164390804","12.0428199571324","12.7404191221282","13.411193779205","13.973668582618","14.6373612019738","15.3309032570101","16.1012006125498","16.7091130362903","17.5410650791263","17.5163614171643","19.5994597485145","18.8412047363374",
"Africa Western and Central","AFW","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.076865529755","20.059133167652","20.0380743454623","20.0387454063619","20.0475415443584","20.0932320007956","20.2376016328653","20.3388895981026","20.5261666981628","20.7860240320585","20.9997173305233","21.1550447637987","21.3474009161081","21.5852565888728","21.8208589149427","22.0249112644347","22.2337723414578","22.5892376835913","22.8326817618302","23.1956033345583","23.5063105767911","23.8465105459401","23.9577295295821","23.4036810861232","22.8765448396026","22.4859998063896","21.7606293930598","21.3969145438696","20.9890548818294","20.5906458694461","20.6455332381682","20.4406242405418",
"Angola","AGO","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.1345187220707","32.919222922379","32.4532465905676","32.4104545186415","32.1478322554417","32.1999119749723","32.1541983746501","32.5313335943772","33.5517845557635","33.8258222016123","33.9118105741965","33.6179310492296","34.0727593721828","34.8702230475109","36.1949755971901","37.1027124502217","38.5182879035781","39.4454278960787","39.1027779065715","39.6010565577053","39.2615471389855","42.1921430976689","44.7001855387346","47.0837912829742","46.5283742387266","45.9955872186645","45.4514893299308","44.8630435570659","43.8330621773674","43.5951874453395","43.9554104828414","43.4437270279085",
"Albania","ALB","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.732605476204","34.0899150293464","33.8669266390446","33.8240477913211","34.1459977249424","34.0111444865265","34.0298841819933","34.274558235562","34.867765408973","35.5389460344681","36.4471448367538","37.2537832731626","38.0721031958719","38.929944447801","39.756910536298","40.7311647318997","41.828952812829","44.9781854756527","46.8849840255591","47.8167436475075","42.0633457797227","40.7632119215091","43.0083809699271","42.6376277966354","40.0359919539842","39.9215794973053","41.2198506692603","42.5793828312698","44.0328487311178","44.282610672977","44.8231498989994","45.2771979739561",
"Andorra","AND","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.9197464858836","61.2106265932536","61.345534244738","61.7416305528933","61.8145117596348","62.3159827875466","62.8013215597264","62.6426547362302","62.8530633271378","63.2086847511905","63.3382365600775","62.9829814177621","63.1778003043903","63.191963824054","64.5276276215649","65.9929430733896","65.9116285397998","67.1026484293106","67.4968551232817","68.2972716964888","68.0823253998784","68.8600493291739","69.0723070330649","69.2679096353447","69.9746554706735","71.2948562011363","71.1747355561488","71.0215292487686","71.133108226478","71.1862612620382","71.0316769344519","70.9753552105572",
"United Arab Emirates","ARE","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.0403410684487","97.0306301553321","97.0102075607187","97.0003804578922","96.9973475248485","96.9944196038427","96.9896303019401","96.9456600957321","96.9186445814548","96.9216561773631","96.8550111216153","96.7614306585142","96.6747338442546","96.6000511984169","96.5545055598796","96.2609064033334","95.8600832628135","95.4140943428108","95.4497377966491","95.5637585769979","95.74123038668","95.9155041047866","96.1075333230499","96.8779674089274","96.8232550876563","96.7458916996405","96.4241136942921","95.9829027976458","95.179393853423","95.1810485464947","95.3680810682077","95.3348320074495",
"Argentina","ARG","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.1442189109016","67.1178771176441","67.2830920275396","67.5647746672508","67.9075155389967","68.4133057168463","69.5131802697524","69.7848425158455","70.042734316908","69.5918793927207","68.7755061428575","67.1976441644233","70.2766168007662","71.2600497734839","71.5915988270371","72.5580328012164","73.2865066645159","73.3191879270989","73.0887072214742","73.6298564425877","73.9545467908319","74.1333210540207","73.4729773925167","73.5160114313554","73.0667472690791","72.9535105639012","72.6260630108759","72.3429587640992","71.225494296199","71.1476244094219","70.5221713025869","70.5360607902491",
"Armenia","ARM","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.6899028207393","31.1739161046955","30.544182304531","30.3258843933127","30.0494816434907","30.0789444628464","30.2195079843415","30.3909633186335","30.8618201431508","31.6044925438132","32.1973048895646","33.1336045970057","34.1069284106476","34.8474732638172","35.818463901877","36.4217257281257","36.9020420859402","37.2974483863047","37.2262683923035","37.6400106615756","37.7578930548637","38.0300671294168","38.2886762283711","38.5337088140526","38.9113579970646","39.2751374512317","39.7130499283641","40.0836517608179","42.7874628952979","42.1977903723366","42.5377163173849","42.7707831071688",
"American Samoa","ASM","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.9209147468111","79.7111397847133","79.320019611608","79.8586803266039","80.1439070861233","80.4796422563583","80.7355352413814","80.9305821192027","80.7849597884477","80.7924857892527","85.6846680232276","79.2714132827155","80.6780651289702","80.1451464640793","80.38063091836","80.498809769613","82.5220885486851","83.1771062873496","82.1239769825525","81.6887523457786","82.1122250817572","83.0004350858107","82.4355133964382","82.6073794281873","82.5526472142316","82.4613537366291","82.6154063900866","82.7074985510518","83.0728381109353","82.9269357290549","83.1068495239755","80.5471090951913",
"Austria","AUT","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.5668251296739","85.2935853550794","86.1997303511043","86.5035149015483","86.1926548629265","85.7812238441701","85.9772249245718","85.8227718873511","85.6066648176703","85.3813864512449","85.2181379109884","84.8657306515761","84.8462633451957","84.4802905045953","83.8245543463739","83.6331445396384","83.0826803796182","83.1545493745337","83.0399240722017","82.6980460588249","83.3218679580828","83.8313253777423","83.649816436035","83.4760782154724","84.0006359884358","84.3432669086651","84.6614882714753","85.0197169118699","84.977577239722","84.7674917961821","85.0011326787529","85.0070990995408",
"Azerbaijan","AZE","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.4309069850321","39.1266105450384","38.2485721473726","37.4124265351547","36.624122685739","35.7209123871338","34.9151131789862","34.3139150907934","34.4379888892684","34.9713680488443","34.2615359048882","34.0977997104977","34.9327208128257","35.601928834421","35.5993780039582","36.1318600967628","36.7449973148479","36.9882649193705","37.2582993543121","36.9337141981942","36.3083220320905","38.3585093775278","38.314975708489","37.9587496768537","36.2013836379213","36.1414471062417","35.98051116198","36.0033596119913","35.8258430497501","35.9877743235825","36.4669783085601","36.7825326418279",
"Burundi","BDI","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.3014980404399","24.3514665802286","24.3709001259829","24.1988133403948","23.6863160196394","23.1867081022065","22.7013411666605","22.4677199115396","22.1113234607212","21.7249579051713","21.1150836465525","21.149937752051","20.738165658706","21.2389417968527","20.8789647980504","20.764437691967","20.5801804376327","20.4548355440674","20.4591894286874","20.4091777650187","20.3312000822625","20.4447935420088","20.7624796978651","20.9169241253543","20.9366033958485","21.0441898858911","21.1797825018134","21.1075713326344","21.0301817724468","20.6396538383697","20.9254248067501","21.0329279946094",
"Belgium","BEL","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.7054206640951","81.2980407520794","81.0252301204904","81.0374634142878","80.9929044307262","80.8302953039476","81.5877587758776","81.4179561826867","81.8133277210049","82.2938441648953","83.1894860729698","83.1153799371342","83.0289603588711","82.9741411264239","82.4704028418614","82.3696994929384","82.5689932660497","82.9850392361228","82.318672159528","82.6911264127187","82.5203828487415","82.4389067432574","81.2135721722154","82.1411888332916","81.2560319104211","81.5682506836154","82.3366337881303","83.0685094981911","82.6667514295113","81.9598656726122","82.4951061299589","81.415360745807",
"Benin","BEN","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.4887445460637","25.4156139719704","25.4645345755485","25.6952834337119","25.6860070756319","25.8495387771059","26.004359720903","26.0977788045438","26.2000814827661","26.409904454313","26.5697361477225","26.7793775970761","26.7100887386899","26.728200489239","26.5094215576991","26.3657775232503","26.4186134253502","26.4358864572729","26.1640098498352","25.895515943868","25.7351426373272","25.6213549302059","25.7941004140265","25.8880642742063","25.6321716194895","25.5064891049281","25.4642390654453","25.5150752246176","25.808914071956","25.5715805358336","25.7611405767135","25.3088623534487",
"Burkina Faso","BFA","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.20726214362587","6.19319667746264","6.20012288918249","6.23102893354571","6.23491631592133","6.37750332007622","6.49331586023273","6.67116667072134","6.76232773400201","6.79816781101184","6.98236417021715","7.09726906332853","7.36741940934373","7.54421505597373","7.90925460027303","8.2421827142751","8.82361178186815","9.57596179117575","10.1291917796496","11.0060731757784","11.8914682241626","12.789405417978","13.6783688089501","14.6272847311479","14.9660111950724","15.2982565014762","15.6351393076319","15.9662885487384","16.2190980794154","16.2468456307174","16.5340981740116","16.3186351712085",
"Bangladesh","BGD","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.4520919387182","35.5153643620225","35.605312716075","35.6864411532789","35.7875589271789","35.9155106722576","36.070601969644","36.2851614104776","36.4703792401269","36.7555094953126","37.1408925394001","37.5363031923324","37.9786945486106","38.5066308097654","39.1224365288746","39.6099824658343","40.9293603744039","42.2919647582304","43.7135051748143","45.2223115662132","45.2242888210563","45.1714818652951","45.0722875827016","44.8197169881861","44.4161454660583","43.7879065755394","44.2403191237502","44.6964223197522","45.2359072197378","45.2303690368273","45.4942317709169","45.8610685750596",
"Bulgaria","BGR","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.8776983278218","80.7501390123427","80.4237574195879","80.34027369189","79.772920344661","79.9047496566598","80.8081176017766","80.4477089254706","80.4710345669506","80.533379008449","81.5813964317778","82.085808026372","80.9339530805444","81.193651913465","83.3219118662178","84.1362610667275","84.9313404515359","85.3301635287124","85.1849416292584","85.244272771863","85.4598951711384","85.8915269010125","85.091995056982","84.6926652666716","85.1197180940708","85.8077084901425","85.7638752868607","85.7019200595418","86.8054723857711","86.5074757370553","86.6131347267159","86.5268464524352",
"Bahrain","BHR","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.6133261709684","93.8558304387176","94.1470598308161","94.4084382352802","94.6621235335818","94.8653280448053","95.0553496112121","95.1612572613938","95.3732368782676","95.6391423583244","95.812401452092","95.2594341289643","95.3149350866515","94.8942036693995","95.4118974511768","95.4317083179039","95.7182990765361","95.8928400268379","96.1113898645258","97.488853679207","97.4608179541872","97.4364927491543","97.4209526287019","97.416688194265","97.4339538401565","97.4680746874245","97.4885834353957","97.5182037310444","97.5415158831829","97.4972643950732","97.5299211376104","97.6442198242499",
