iso_code,location,total_cases_per_million,population_density,aged_65_older,people_fully_vaccinated_per_hundred,hospital_beds_per_thousand
LBN,Lebanon,224749.46,594.561,8.514,,2.9
LSO,Lesotho,14957.764,73.562,4.506,40.68,
LBR,Liberia,1525.641,49.127,3.057,,0.8
LBY,Libya,74453.962,3.623,4.424,,3.7
LIE,Liechtenstein,545140.389,237.012,,67.24,2.397
LTU,Lithuania,476874.306,45.135,19.002,68.37,6.56
LUX,Luxembourg,492511.593,231.447,14.312,,4.51
MAC,Macao,,20546.766,9.798,92.29,
MDG,Madagascar,2294.396,43.951,2.929,7.84,0.2
MWI,Malawi,4342.642,197.519,2.979,18.2,1.3
MYS,Malaysia,148658.138,96.254,6.293,81.16,1.9
MDV,Maldives,354630.984,1454.433,4.12,,
MLI,Mali,1463.733,15.196,2.519,14.37,0.1
MLT,Malta,221075.469,1454.037,19.426,88.41,4.485
MHL,Marshall Islands,378020.34,295.15,,,2.7
MTQ,Martinique,623835.412,,,,
MRT,Mauritania,13394.646,4.289,3.138,32.47,
MUS,Mauritius,227816.092,622.962,10.945,,3.4
MYT,Mayotte,128801.98,,,,
MEX,Mexico,58911.43,66.444,6.857,,1.38
FSM,Micronesia (country),211905.971,150.777,4.81,,
MDA,Moldova,187561.049,123.655,10.864,,5.8
MCO,Monaco,442163.821,19347.5,,,13.8
MNG,Mongolia,296585.16,1.98,4.031,,7
MNE,Montenegro,461330.416,46.28,14.762,,3.861
MSR,Montserrat,317924.315,,,,
MAR,Morocco,33973.672,80.08,6.769,62.79,1.1
MOZ,Mozambique,7073.624,37.728,3.158,,0.7
MMR,Myanmar,11701.754,81.721,5.732,,0.9
NAM,Namibia,66695.13,3.078,3.552,20.85,
NRU,Nauru,424946.813,682.45,,,5
NPL,Nepal,32774.603,204.43,5.809,,0.3
NLD,Netherlands,489978.718,508.544,18.779,,3.32
NCL,New Caledonia,276011.436,15.342,9.954,63.72,
NZL,New Zealand,423612.84,18.206,15.322,,2.61
NIC,Nicaragua,2255.485,51.667,5.445,86.88,0.9
NER,Niger,362.981,16.955,2.553,20.81,0.3
NGA,Nigeria,1220.095,209.588,2.751,31.94,
