iso_code,location,total_cases,total_deaths,people_vaccinated,people_fully_vaccinated,population_density,aged_65_older,gdp_per_capita,hospital_beds_per_thousand,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
GIB,Gibraltar,20462,111,,,3457.1,,,,,,,
GRC,Greece,5920428,36447,7934386,7644835,83.479,20.396,24574.382,4.21,,,,
GRL,Greenland,11971,21,,,0.137,,,,,,,
GRD,Grenada,19680,238,44241,39034,317.132,7.304,13593.877,3.7,,,,
GLP,Guadeloupe,202004,1010,,,,,,,,,,
GUM,Guam,50955,415,,,304.128,9.551,,,,,,
GTM,Guatemala,1241016,20183,8917751,7106364,157.834,4.694,7423.808,0.6,,,,
GGY,Guernsey,35139,67,,,,,,,,,,
GIN,Guinea,38280,467,7677166,4724235,51.755,3.135,1998.926,0.3,,,,
GNB,Guinea-Bissau,9134,176,544293,362014,66.191,3.002,1548.675,,,,,
GUY,Guyana,73105,1298,,,3.952,5.305,7435.047,1.6,,,,
HTI,Haiti,34202,860,,,398.448,4.8,1653.173,0.7,,,,
HND,Honduras,472340,11111,6530252,5816888,82.805,4.652,4541.795,0.7,,,,
HKG,Hong Kong,,,6914546,6797727,7039.714,16.303,56054.92,,,,,
HUN,Hungary,2197820,48690,,,108.043,18.577,26777.561,7.02,,,,
ISL,Iceland,209191,259,,,3.404,14.431,46482.958,2.91,,,,
IND,India,44696984,530808,1027389807,951929946,450.419,5.989,6426.674,0.53,,,,
IDN,Indonesia,6742061,160977,,,145.725,5.319,11188.744,1.04,,,,
IRN,Iran,7580858,145091,,,49.831,5.44,19082.62,1.5,,,,
IRQ,Iraq,2465545,25375,,,88.125,3.186,15663.986,1.4,,,,
IRL,Ireland,1705295,8719,4107738,4061449,69.874,13.928,67335.293,2.96,,,,
IMN,Isle of Man,38008,116,,,147.872,,,,,,,
ISR,Israel,4809664,12370,6722809,6159363,402.606,11.733,33132.32,2.99,,,,
ITA,Italy,25651205,188750,50888325,47974746,205.859,23.021,35220.084,3.18,,,,
JAM,Jamaica,154471,3521,853492,753883,266.879,9.684,8193.571,1.7,,,,
JPN,Japan,33374303,73511,104682943,103343786,347.778,27.049,39002.223,13.05,,,,
JEY,Jersey,66391,161,,,,,,,,,,
JOR,Jordan,1746997,14122,,,109.285,3.81,8337.49,1.4,,,,
KAZ,Kazakhstan,1500207,19071,,,6.681,6.991,24055.588,6.7,,,,
KEN,Kenya,342953,5688,,,87.324,2.686,2993.028,1.4,,,,
KIR,Kiribati,5014,18,,,143.701,3.895,1981.132,1.9,,,,
KWT,Kuwait,664772,2570,3456530,3345134,232.128,2.345,65530.537,2,,,,
KGZ,Kyrgyzstan,206740,2991,1655725,1374025,32.333,4.489,3393.474,4.5,,,,
LAO,Laos,218027,758,,,29.715,4.029,6397.36,1.5,,,,
LVA,Latvia,976535,6286,,,31.212,19.754,25063.846,5.57,,,,
LBN,Lebanon,1233817,10856,,,594.561,8.514,13367.565,2.9,,,,
LSO,Lesotho,34490,706,1014073,938088,73.562,4.506,2851.153,,,,,
LBR,Liberia,8090,294,,,49.127,3.057,752.788,0.8,,,,
LBY,Libya,507206,6437,,,3.623,4.424,17881.509,3.7,,,,
LIE,Liechtenstein,21454,87,26767,26462,237.012,,,2.397,,,,
LTU,Lithuania,1311432,9617,1956991,1880334,45.135,19.002,29524.265,6.56,,,,
LUX,Luxembourg,318951,1224,481948,,231.447,14.312,94277.965,4.51,,,,
MAC,Macao,,,679361,641568,20546.766,9.798,104861.851,,,,,
MDG,Madagascar,67941,1423,2400157,2321826,43.951,2.929,1416.44,0.2,,,,
MWI,Malawi,88613,2686,4739457,3714037,197.519,2.979,1095.042,1.3,,,,
MYS,Malaysia,5045192,36967,28132244,27544784,96.254,6.293,26808.164,1.9,,,,
MDV,Maldives,185755,311,,,1454.433,4.12,15183.616,,,,,
MLI,Mali,33071,743,3959022,3247719,15.196,2.519,2014.306,0.1,,,,
MLT,Malta,117898,831,478741,471482,1454.037,19.426,36513.323,4.485,,,,
MHL,Marshall Islands,15723,17,,,295.15,,3819.202,2.7,,,,
MTQ,Martinique,229267,1093,,,,,,,,,,
MRT,Mauritania,63439,997,2100377,1537848,4.289,3.138,3597.633,,,,,
MUS,Mauritius,296042,1044,,,622.962,10.945,20292.745,3.4,,,,
MYT,Mayotte,42004,187,,,,,,,,,,
MEX,Mexico,7511450,333327,,,66.444,6.857,17336.469,1.38,,,,
FSM,Micronesia (country),24195,63,,,150.777,4.81,3299.464,,,,,
MDA,Moldova,613886,12025,,,123.655,10.864,5189.972,5.8,,,,
MCO,Monaco,16135,67,,,19347.5,,,13.8,,,,
MNG,Mongolia,1007907,2136,,,1.98,4.031,11840.846,7,,,,
MNE,Montenegro,289292,2808,,,46.28,14.762,16409.288,3.861,,,,
MSR,Montserrat,1403,8,,,,,,,,,,
MAR,Morocco,1272585,16296,25019492,23521101,80.08,6.769,7485.013,1.1,,,,
MOZ,Mozambique,233214,2242,,,37.728,3.158,1136.103,0.7,,,,
MMR,Myanmar,633993,19490,,,81.721,5.732,5591.597,0.9,,,,
NAM,Namibia,171208,4090,612355,535114,3.078,3.552,9541.808,,,,,
NRU,Nauru,5393,1,,,682.45,,12895.635,5,,,,
NPL,Nepal,1001185,12020,,,204.43,5.809,2442.804,0.3,,,,
NLD,Netherlands,8605996,22991,,,508.544,18.779,48472.545,3.32,,,,
NCL,New Caledonia,80032,314,192345,184760,15.342,9.954,,,,,,
NZL,New Zealand,2196555,2586,,,18.206,15.322,36085.843,2.61,,,,
NIC,Nicaragua,15672,245,6237297,6036782,51.667,5.445,5321.444,0.9,,,,
NER,Niger,9513,315,6217508,5454196,16.955,2.553,926,0.3,,,,
NGA,Nigeria,266641,3155,82325196,69793071,209.588,2.751,5338.454,,,,,
NIU,Niue,747,,,,,,,,,,,
PRK,North Korea,,,,,211.701,9.491,,13.2,,,,
MKD,North Macedonia,347327,9665,,,82.6,13.26,13111.214,4.28,,,,
MNP,Northern Mariana Islands,13722,41,,,119.878,,,,,,,
NOR,Norway,1480136,5266,,,14.462,16.821,64800.057,3.6,,,,
OMN,Oman,399449,4628,,,14.98,2.355,37960.709,1.6,,,,
PAK,Pakistan,1578358,30645,162881618,139889819,255.573,4.495,5034.708,0.6,,,,
PLW,Palau,5995,9,,,47.237,,13240.405,4.8,,,,
PSE,Palestine,703228,5708,,,778.202,3.043,4449.898,,,,,
PAN,Panama,1032939,8612,3529545,3171502,55.133,7.918,22267.037,2.3,,,,
PNG,Papua New Guinea,46826,670,377915,317260,18.22,3.808,3823.194,,,,,
PRY,Paraguay,735759,19880,3987939,3543803,17.144,6.378,8827.01,1.3,,,,
PER,Peru,4489377,219648,30371766,28567150,25.129,7.151,12236.706,1.6,,,,
PHL,Philippines,4078994,66272,,,351.873,4.803,7599.188,1,,,,
PCN,Pitcairn,4,,,,,,,,,,,
POL,Poland,6477600,119170,22871837,22643696,124.027,16.763,27216.445,6.62,,,,
PRT,Portugal,5573509,26362,,,112.371,21.502,27936.896,3.39,,,,
PRI,Puerto Rico,1104424,5837,,,376.232,15.168,35044.67,,,,,
QAT,Qatar,496802,688,2851907,2851907,227.322,1.307,116935.6,1.2,,,,
REU,Reunion,494595,921,,,,,,,,,,
ROU,Romania,3359839,67821,,,85.129,17.85,23313.199,6.892,,,,
RUS,Russia,22525882,396899,88645731,79588057,8.823,14.178,24765.954,8.05,,,,
RWA,Rwanda,133194,1468,,,494.869,2.974,1854.211,,,,,
BLM,Saint Barthelemy,5459,5,,,,,,,,,,
SHN,Saint Helena,2166,,,,,,,,,,,
KNA,Saint Kitts and Nevis,6597,46,,,212.865,,24654.385,2.3,,,,
LCA,Saint Lucia,30028,409,,,293.187,9.721,12951.839,1.3,,,,
MAF,Saint Martin (French part),12276,46,,,590.533,,,,,,,
SPM,Saint Pierre and Miquelon,3418,2,,,,,,,,,,
VCT,Saint Vincent and the Grenadines,9593,124,,,281.787,7.724,10727.146,2.6,,,,
WSM,Samoa,16427,31,,,69.413,5.606,6021.557,,,,,
SMR,San Marino,23747,123,,,556.667,,56861.47,3.8,,,,
STP,Sao Tome and Principe,6296,77,,,212.841,2.886,3052.714,2.9,,,,
SAU,Saudi Arabia,831502,9624,27018975,25414359,15.322,3.295,49045.411,2.7,,,,
SEN,Senegal,88945,1971,,,82.328,3.008,2470.58,,,,,
SRB,Serbia,2509089,17932,,,80.291,17.366,14048.881,5.609,,,,
SYC,Seychelles,50937,172,88498,83494,208.354,8.606,26382.287,3.6,,,,
SLE,Sierra Leone,7762,125,4953816,4129751,104.7,2.538,1390.3,,,,,
SGP,Singapore,2245348,1722,,,7915.731,12.922,85535.383,2.4,,,,
SXM,Sint Maarten (Dutch part),11023,90,,,1209.088,,36327.232,,,,,
SVK,Slovakia,1864741,21069,,,113.128,15.07,30155.152,5.82,,,,
SVN,Slovenia,1336426,9183,,,102.619,19.062,31400.84,4.5,,,,
SLB,Solomon Islands,24575,153,,,21.841,3.507,2205.923,1.4,,,,
SOM,Somalia,27334,1361,,,23.5,2.731,,0.9,,,,
ZAF,South Africa,4068224,102595,24165157,21038797,46.754,5.344,12294.876,2.32,,,,
KOR,South Korea,30702960,34171,44827927,44412406,527.967,13.914,35938.374,12.27,,,,
SSD,South Sudan,18368,138,3153947,3111968,,3.441,1569.888,,,,,
ESP,Spain,13783163,119872,,,93.105,19.436,34272.36,2.97,,,,
LKA,Sri Lanka,672054,16832,,,341.955,10.069,11669.077,3.6,,,,
SDN,Sudan,63899,5026,,,23.258,3.548,4466.507,0.8,,,,
SUR,Suriname,82467,1404,,,3.612,6.933,13767.119,3.1,,,,
SWE,Sweden,2700231,23813,7775538,7593440,24.718,19.985,46949.283,2.22,,,,
CHE,Switzerland,4394296,13960,6096456,6012790,214.243,18.436,57410.166,4.53,,,,
SYR,Syria,57423,3163,,,,,,1.5,,,,
TWN,Taiwan,,,21877036,20754342,,,,,,,,
TJK,Tajikistan,17786,125,,,64.281,3.466,2896.913,4.8,,,,
TZA,Tanzania,42927,846,34434933,32165791,64.699,3.108,2683.304,0.7,,,,
THA,Thailand,4728482,33929,,,135.132,11.373,16277.671,2.1,,,,
TLS,Timor,23422,138,,,87.176,3.556,6570.102,5.9,,,,
TGO,Togo,39416,290,2244456,1554066,143.366,2.839,1429.813,0.7,,,,
TKL,Tokelau,5,,,,,,,,,,,
TON,Tonga,16813,12,,,150.028,5.82,5425.621,2.6,,,,
TTO,Trinidad and Tobago,190285,4361,,,266.886,10.014,28763.071,3,,,,
TUN,Tunisia,1151333,29345,,,74.228,8.001,10849.297,2.3,,,,
TUR,Turkey,17004677,101419,,,104.914,8.153,25129.341,2.81,,,,
TKM,Turkmenistan,,,,,12.253,4.277,16389.023,7.4,,,,
TCA,Turks and Caicos Islands,6561,38,,,37.312,,,,,,,
TUV,Tuvalu,2779,,,,373.067,,3575.104,,,,,
UGA,Uganda,170463,3630,,,213.759,2.168,1697.707,0.5,,,,
UKR,Ukraine,5427360,111457,,,77.39,16.462,7894.393,8.8,,,,
ARE,United Arab Emirates,1055334,2349,,,112.442,1.144,67293.483,1.2,,,,
GBR,United Kingdom,24448729,209396,,,272.898,18.517,39753.244,2.54,,,,
USA,United States,102544598,1114970,269743532,230211943,35.608,15.413,54225.446,2.77,,,,
VIR,United States Virgin Islands,24831,130,,,306.48,18.601,,,,,,
URY,Uruguay,1035046,7619,3006877,2899466,19.751,14.655,20551.409,2.8,,,,
UZB,Uzbekistan,251660,1637,,,76.134,4.469,6253.104,4,,,,
VUT,Vanuatu,12014,14,,,22.662,4.394,2921.909,,,,,
VAT,Vatican,26,,,,,,,,,,,
VEN,Venezuela,552233,5854,,,36.253,6.614,16745.022,0.8,,,,
VNM,Vietnam,11527139,43186,90497674,86002617,308.127,7.15,6171.884,2.6,,,,
WLF,Wallis and Futuna,3427,7,,,,,,,,,,
YEM,Yemen,11945,2159,1018387,773549,53.508,2.922,1479.147,0.7,,,,
ZMB,Zambia,343250,4057,,8747040,22.995,2.48,3689.251,2,,,,
ZWE,Zimbabwe,264391,5672,,,42.729,2.822,1899.775,1.7,,,,
